Query,Output
Find and summarize tasks related to the 'Backend' part that need a response,"var_1 = search_object_by_name(query=""Backend"")
var_2 = works_list(type=[""task""], applies_to_part=[var_1], ticket.needs_response=True)
var_3 = summarize_objects(objects=var_2)
"
Prioritize and summarize tasks owned by ProjectManager in the PLANNING stage and limit the number of work items to 28.,"var_1 = works_list(owned_by=[""ProjectManager""], stage.name=[""PLANNING""], type=[""task""], limit=28)
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
"Search for work items by user USER-XYZ, filter by tasks, and return a prioritized list","var_1 = search_object_by_name(query=""USER-XYZ"")
var_2 = works_list(created_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
"Get the current sprint ID, look up work items by type 'ticket' for user DEVU-456, and add them to the sprint.","var_1 = get_sprint_id()
var_2 = works_list(created_by=[""DEVU-456""], type=[""ticket""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_1)
"
"Prioritize the list of issues under ""Backend"" part and then summarize them","var_1 = works_list(applies_to_part=[""Backend""], type=[""issue""])
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
Find my issues related to Rev organization REV-321 and summarize them,"var_1 = who_am_i()
var_2 = works_list(issue.rev_orgs=[""REV-321""], owned_by=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
"Find tasks related to ""ZetaProject"", prioritize, and summarize for reporting","var_1 = search_object_by_name(query=""ZetaProject"")
var_2 = works_list(type=[""task""], ticket.rev_org=[var_1])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
"Determine my current sprint and list all tickets that need a response, then add p0 priority issues to the sprint","var_1 = who_am_i()
var_2 = get_sprint_id()
var_3 = works_list(ticket.needs_response=True, type=[""ticket""])
var_4 = works_list(issue.priority=[""p0""], type=[""issue""])
var_5 = add_work_items_to_sprint(work_ids=var_4, sprint_id=var_2)
"
"Find work items created by user ID 'USER-789', summarize, and add to sprint with ID SPRINT-321","var_1 = works_list(created_by=[""USER-789""], type=[""issue"", ""ticket"", ""task""])
var_2 = summarize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-321"")
"
Summarize tickets from 'phone' channel for Rev organization REV-789,"var_1 = works_list(ticket.rev_org=[""REV-789""], ticket.source_channel=[""phone""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
"List all p2 tickets, get similar work items, and prioritize them.","var_1 = works_list(issue.priority=[""p2""], type=[""ticket""])
var_2 = get_similar_work_items(work_id=var_1)
var_3 = prioritize_objects(objects=var_2)
"
List work items created by user 'USER-XYZ' and sort them by priority,"var_1 = search_object_by_name(query=""USER-XYZ"")
var_2 = works_list(created_by=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = prioritize_objects(objects=var_2)
"
Get the current sprint ID and add work items from the CAPL-456 part to it,"var_1 = search_object_by_name(query=""CAPL-456"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Summarize my completed issues and extract actionable items.,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""completed""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
var_4 = create_actionable_tasks_from_text(text=var_3)
"
"Find and list tasks related to billing issues, then prioritize this list","var_1 = works_list(type=[""task""], type=[""billing""])
var_2 = prioritize_objects(objects=var_1)
"
"Summarize my tickets with ""medium"" severity and response needed","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""medium""], ticket.needs_response=True, type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Find and prioritize P1 tickets related to Rev organization ORG-101,"var_1 = works_list(issue.priority=[""p1""], ticket.rev_org=[""ORG-101""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
"
Assign new tasks from the text file T to the current sprint,"var_1 = create_actionable_tasks_from_text(text=""T"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Prioritize tickets from channel 'email' for part PROD-789 and get current user's ID,"var_1 = search_object_by_name(query=""PROD-789"")
var_2 = works_list(ticket.source_channel=[""email""], applies_to_part=[var_1], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = who_am_i()
"
Summarize and prioritize tickets from the social media channel for better customer engagement,"var_1 = works_list(ticket.source_channel=[""social media""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
Prioritize and add to the current sprint all tickets that need a response from the customer 'BigEnterprises',"var_1 = search_object_by_name(query=""BigEnterprises"")
var_2 = works_list(ticket.rev_org=[var_1], ticket.needs_response=True, type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"For 'FEATURE-321' tagged issues, filter out the high priority ones and get a summary for a quick review.","var_1 = search_object_by_name(query=""FEATURE-321"")
var_2 = works_list(applies_to_part=[var_1], issue.priority=[""high""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
"Find work items of type 'task' under REV-321, summarize and add to sprint 555","var_1 = works_list(owned_by=[""REV-321""], type=[""task""])
var_2 = summarize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""555"")
"
Retrieve work items related to the CAPL-999 part and create tasks from their summary,"var_1 = works_list(applies_to_part=[""CAPL-999""])
var_2 = summarize_objects(objects=var_1)
var_3 = create_actionable_tasks_from_text(text=var_2)
"
Summarize my tasks that need a response and are in 'development' stage,"var_1 = who_am_i()
var_2 = works_list(type=[""task""], owned_by=[var_1], ticket.needs_response=True, stage.name=[""development""])
var_3 = summarize_objects(objects=var_2)
"
What if time is not a linear progression but a complex web of interconnected moments?,#Unanswerable_Invalid_Query_Error
Find all issues created by DEVU-456 and return a prioritized list,"var_1 = works_list(created_by=[""DEVU-456""], type=[""issue""])
var_2 = prioritize_objects(objects=var_1)
"
Prioritize and summarize my tasks,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
Retrieve and list issues in 'QA' stage for current user,"var_1 = who_am_i()
var_2 = works_list(stage.name=[""QA""], owned_by=[var_1], type=[""issue""])
"
Provide a prioritized list of all tasks that need a response and are created by user USER-321,"var_1 = works_list(created_by=[""USER-321""], ticket.needs_response=True, type=[""task""])
var_2 = prioritize_objects(objects=var_1)
"
Retrieve and prioritize issues from Rev organization REV-456 with priority p2 and then add them to sprint SPRINT-789,"var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(issue.priority=[""p2""], issue.rev_orgs=[var_1], type=[""issue""])
var_3 = prioritize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=""SPRINT-789"")
"
Determine my tasks in the 'development' stage and organize them by urgency,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""development""], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
Generate a summary of issues tagged with 'Urgent-Fix' and assign them to the 'Hotfix' sprint.,"var_1 = search_object_by_name(query=""Urgent-Fix"")
var_2 = works_list(issue.rev_orgs=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""Hotfix"")
"
"Summarize all tickets from the SALES source channel and prioritize them, limiting the number of work items to 30.","var_1 = works_list(ticket.source_channel=[""SALES""], type=[""ticket""], limit=30)
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
Add P0 and P1 priority issues from REV-TEAM-99 to the current sprint,"var_1 = search_object_by_name(query=""REV-TEAM-99"")
var_2 = works_list(issue.rev_orgs=[var_1], issue.priority=[""p0"", ""p1""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Find all tasks related to feature FEAT-XYZ, summarize their current status","var_1 = works_list(type=[""task""], applies_to_part=[""FEAT-XYZ""])
var_2 = summarize_objects(objects=var_1)
"
Add all P2 issues from customer BigCorp to the sprint and list them,"var_1 = search_object_by_name(query=""BigCorp"")
var_2 = works_list(issue.rev_orgs=[var_1], issue.priority=[""p2""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Is there a purpose to suffering, or is it an inherent aspect of the human experience?",#Unanswerable_Invalid_Query_Error
Summarize work items for parts FEAT-999 and ENH-999 created by user DEVU-999,"var_1 = works_list(applies_to_part=[""FEAT-999"", ""ENH-999""], created_by=[""DEVU-999""])
var_2 = summarize_objects(objects=var_1)
"
"Find and summarize tasks related to project ALPHA, then add urgent tasks to the sprint.","var_1 = search_object_by_name(query=""ALPHA"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=var_4, sprint_id=var_5)
"
Fetch and prioritize tasks for user USER-789 in 'development' stage,"var_1 = works_list(owned_by=[""USER-789""], stage.name=[""development""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
"
"What if the purpose of life is not to find meaning but to create it, shaping our own existential narrative?",#Unanswerable_Invalid_Query_Error
Create actionable tasks from the team meeting notes M and prioritize them for the current sprint,"var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Retrieve and summarize all open tickets for the current sprint,"var_1 = get_sprint_id()
var_2 = works_list(stage.name=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
"Retrieve the current sprint ID, list all tasks due this week, and add them to the sprint.","var_1 = get_sprint_id()
var_2 = works_list(type=[""task""], stage.name=[""due this week""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_1)
"
How do I apply for a job at Google?,#Unanswerable_Invalid_Query_Error
"Is reality a fixed construct, or does it adapt and evolve based on our collective consciousness?",#Unanswerable_Invalid_Query_Error
Find work items related to 'FeatureX' and add them to sprint 'Sprint-22',"var_1 = search_object_by_name(query=""FeatureX"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""Sprint-22"")
"
"Generate a list of tickets from the Engineering department, prioritize them by severity, and add themto the upcoming sprint","var_1 = works_list(issue.rev_orgs=[""Engineering""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Identify my tasks that are in 'development' stage, filter for high priority, and add them to sprint SPRINT-101","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""development""], issue.priority=[""high""], type=[""task""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-101"")
"
Summarize tasks for the 'NextGen' project and prioritize for the sprint,"var_1 = search_object_by_name(query=""NextGen"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=var_4, sprint_id=var_5)
"
What if our thoughts have a tangible impact on the physical world?,#Unanswerable_Invalid_Query_Error
Find all tasks related to project AlphaGo and categorize them by priority,"var_1 = search_object_by_name(query=""AlphaGo"")
var_2 = works_list(type=[""task""], applies_to_part=[var_1])
var_3 = prioritize_objects(objects=var_2)
"
"For my tickets marked as 'blocker', create a prioritized list and add it to the current sprint.","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""blocker""], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"Identify tickets that need a response for ""Gamma Initiative"" and create a summary","var_1 = search_object_by_name(query=""Gamma Initiative"")
var_2 = works_list(ticket.needs_response=True, ticket.rev_org=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
"Find work items related to ""ENH-456"", prioritize them, and add to the current sprint.","var_1 = search_object_by_name(query=""ENH-456"")
var_2 = get_similar_work_items(work_id=var_1)
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
What are the best practices for organic gardening?,#Unanswerable_Invalid_Query_Error
Summarize and prioritize tasks assigned to 'DEVU-789' that are in the 'development' stage.,"var_1 = search_object_by_name(query=""DEVU-789"")
var_2 = works_list(owned_by=[var_1], stage.name=[""development""], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
"
"Identify work items related to ""Feature-999"", summarize them, and add them to the current sprint","var_1 = search_object_by_name(query=""Feature-999"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_4)
"
Identify and summarize work items similar to ID ISSUE-999,"var_1 = get_similar_work_items(work_id=""ISSUE-999"")
var_2 = summarize_objects(objects=var_1)
"
Find work items of type 'issue'  and add those to the current sprint which belong to CAPL-789,"var_1 = works_list(applies_to_part=[""CAPL-789""], type=[""issue""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Look through all my issues and add any P1 issues to the current sprint,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Summarize all high severity tickets created by CustomerSuccessTeam and limit the number of work items to 24.,"var_1 = works_list(created_by=[""CustomerSuccessTeam""], ticket.severity=[""high""], type=[""ticket""], limit=24)
var_2 = summarize_objects(objects=var_1)
"
Find and summarize all tasks in 'QA Testing' stage for part 'TEST-987'.,"var_1 = search_object_by_name(query=""TEST-987"")
var_2 = works_list(applies_to_part=[var_1], stage.name=[""QA Testing""], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Find work items for part CAPL-123, filter by Rev organization REV-ORG-456, and summarize the results","var_1 = search_object_by_name(query=""REV-ORG-456"")
var_2 = works_list(applies_to_part=[""CAPL-123""], issue.rev_orgs=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
"
"Retrieve my work of the type ""issue"" and ""task"", add them to the current sprint, and then get a summary of the sprint contents.","var_1 = who_am_i()
var_2 = works_list(created_by=[var_1], type=[""issue"", ""task""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
var_5 = summarize_objects(objects=var_2)
"
Prioritize and summarize my tasks related to the Rev organization REV-678,"var_1 = who_am_i()
var_2 = works_list(type=[""task""], owned_by=[var_1], issue.rev_orgs=[""REV-678""])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
Create a summary of tickets needing response from the support team,"var_1 = works_list(ticket.needs_response=True, type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
"Create tasks from meeting notes ""M"" and get the current sprint ID","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = get_sprint_id()
"
"Retrieve and summarize my tasks, then prioritize them before the current team meeting","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
"
Identify and summarize all tasks that need a response for the REV-321 project,"var_1 = search_object_by_name(query=""REV-321"")
var_2 = works_list(ticket.rev_org=[var_1], ticket.needs_response=True, type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve and summarize issues owned by ProductManagerX and limit the results to 35.,"var_1 = works_list(owned_by=[""ProductManagerX""], type=[""issue""], limit=35)
var_2 = summarize_objects(objects=var_1)
"
Find issues linked to project PROJ-456 with priority P1 and summarize them,"var_1 = search_object_by_name(query=""PROJ-456"")
var_2 = works_list(issue.rev_orgs=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Add my recently created high priority tickets to the current sprint,"var_1 = who_am_i()
var_2 = get_sprint_id()
var_3 = works_list(created_by=[var_1], issue.priority=[""high""], type=[""ticket""])
var_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_2)
"
Retrieve a list of tickets with 'blocker' severity from REV-456 and summarize them for review,"var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(ticket.severity=[""blocker""], ticket.rev_org=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Add all P2 issues created by user User123 to the sprint,"var_1 = works_list(created_by=[""User123""], issue.priority=[""p2""], type=[""issue""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
"Add all 'blocker' severity tickets created by user ""DEVU-456"" to the current sprint","var_1 = search_object_by_name(query=""DEVU-456"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""blocker""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Find and summarize all tasks in the 'QA' stage for the 'MobileApp' project,"var_1 = search_object_by_name(query=""MobileApp"")
var_2 = works_list(stage.name=[""QA""], applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Retrieve all blocker issues for component 'COMP-321', summarize and categorize by type","var_1 = search_object_by_name(query=""COMP-321"")
var_2 = works_list(type=[""issue""], applies_to_part=[var_1], ticket.severity=[""blocker""])
var_3 = summarize_objects(objects=var_2)
"
"Prioritize tasks related to ""PROJ-1122"" and generate a summary","var_1 = search_object_by_name(query=""PROJ-1122"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
Add all P1 enhancement issues created by user DEVU-456 to the sprint,"var_1 = search_object_by_name(query=""DEVU-456"")
var_2 = works_list(created_by=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Extract actionable items from the meeting notes 'MeetingXyz' and assign them,"var_1 = create_actionable_tasks_from_text(text=""MeetingXyz"")
"
"Retrieve all tasks created by ManagerMike and add them to the current sprint, limiting the number of work items to 35.","var_1 = works_list(created_by=[""ManagerMike""], limit=35, type=[""task""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Create tasks from meeting notes and summarize the newly created tasks,"var_1 = create_actionable_tasks_from_text(text=""meeting notes"")
var_2 = summarize_objects(objects=var_1)
"
Prioritize and summarize issues related to 'ProjectY' for the current sprint planning.,"var_1 = search_object_by_name(query=""ProjectY"")
var_2 = works_list(type=[""issue""], applies_to_part=[var_1])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
"Find work items related to ""ENH-123"" created by ""DEVU-456"" and summarize them","var_1 = search_object_by_name(query=""DEVU-456"")
var_2 = works_list(created_by=[var_1], applies_to_part=[""ENH-123""], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve the ID of the sprint for this month and list all P2 tickets owned by me in that sprint.,"var_1 = get_sprint_id()
var_2 = who_am_i()
var_3 = works_list(issue.priority=[""p2""], owned_by=[var_2], stage.name=[var_1], type=[""ticket""])
"
Get the current sprint ID,"var_1 = get_sprint_id()
"
"For the given text 'M', create tasks and immediately prioritize them for execution.","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = prioritize_objects(objects=var_1)
"
" Locate tickets with high severity from the MARKETING rev organization, summarize them, and limit the number of work items to 15.","var_1 = search_object_by_name(query=""MARKETING"")
var_2 = works_list(ticket.rev_org=[var_1], ticket.severity=[""high""], limit=15, type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Search for issues reported by customer CustomerID-6789 and summarize the critical ones.,"var_1 = search_object_by_name(query=""CustomerID-6789"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""blocker""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
